◇ injected env (0) from .env // tip: ⌘ override existing { override: true }
Cron job untuk sinkronisasi Roster dijadwalkan pada jam 12 malam WIT.
🚀 Server backend siap berjalan di http://localhost:3000
7:35:15 PM [vite] (client) page reload drizzle.config.ts
7:35:15 PM [vite] (client) page reload prod_logs.txt
7:35:19 PM [vite] (client) page reload src/db/index.ts
7:35:19 PM [vite] (client) page reload prod_logs.txt
7:44:40 PM [vite] (client) page reload src/db/index.ts
7:44:40 PM [vite] (client) page reload prod_logs.txt
7:44:43 PM [vite] (client) page reload drizzle.config.ts
7:44:43 PM [vite] (client) page reload prod_logs.txt
7:45:27 PM [vite] (client) page reload db_backups/backup_employees_1.json
7:45:27 PM [vite] (client) page reload prod_logs.txt
7:45:27 PM [vite] (client) page reload db_backups/backup_equipments_1.json
7:45:27 PM [vite] (client) page reload prod_logs.txt
7:45:28 PM [vite] (client) page reload db_backups/backup_workOrders_1.json
7:45:28 PM [vite] (client) page reload prod_logs.txt
7:45:28 PM [vite] (client) page reload db_backups/backup_tickets_1.json
7:45:28 PM [vite] (client) page reload prod_logs.txt
7:45:28 PM [vite] (client) page reload db_backups/backup_spareparts_1.json
7:45:28 PM [vite] (client) page reload prod_logs.txt
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_1.json
7:45:30 PM [vite] (client) page reload prod_logs.txt
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_2.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_3.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_4.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_5.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_6.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_7.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_8.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_9.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_10.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_11.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_12.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_13.json
7:45:30 PM [vite] (client) page reload prod_logs.txt
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_14.json
7:45:30 PM [vite] (client) page reload db_backups/backup_roster_15.json
7:45:30 PM [vite] (client) page reload db_backups/backup_inspections_1.json
7:45:30 PM [vite] (client) page reload prod_logs.txt
7:45:31 PM [vite] (client) page reload db_backups/backup_pemantauan_1.json
7:45:31 PM [vite] (client) page reload prod_logs.txt
7:45:31 PM [vite] (client) page reload db_backups/backup_questions_1.json
7:45:31 PM [vite] (client) page reload prod_logs.txt
7:45:31 PM [vite] (client) page reload db_backups/backup_agendaEvents_1.json
7:45:31 PM [vite] (client) page reload prod_logs.txt
7:45:31 PM [vite] (client) page reload db_backups/backup_privateNotes_1.json
7:45:31 PM [vite] (client) page reload prod_logs.txt
7:45:31 PM [vite] (client) page reload db_backups/backup_userThemes_1.json
7:45:31 PM [vite] (client) page reload prod_logs.txt
7:45:32 PM [vite] (client) page reload db_backups/backup_bulletinPosts_1.json
7:45:32 PM [vite] (client) page reload prod_logs.txt
7:45:32 PM [vite] (client) page reload db_backups/backup_notifications_1.json
7:45:32 PM [vite] (client) page reload prod_logs.txt
7:45:32 PM [vite] (client) page reload db_backups/backup_bulletinComments_1.json
7:45:32 PM [vite] (client) page reload prod_logs.txt
7:45:32 PM [vite] (client) page reload db_backups/backup_uploadedFiles_1.json
7:45:32 PM [vite] (client) page reload prod_logs.txt
7:45:33 PM [vite] (client) page reload db_backups/backup_appSettings_1.json
7:45:33 PM [vite] (client) page reload prod_logs.txt
7:45:33 PM [vite] (client) page reload db_backups/backup_pelanggaran_1.json
7:45:33 PM [vite] (client) page reload prod_logs.txt
7:56:54 PM [vite] (client) page reload server.ts
7:56:54 PM [vite] (client) page reload prod_logs.txt
8:01:26 PM [vite] (client) page reload drizzle/meta/_journal.json
8:01:26 PM [vite] (client) page reload drizzle/meta/0000_snapshot.json
8:01:26 PM [vite] (client) page reload drizzle/meta/0001_snapshot.json
8:01:26 PM [vite] (client) page reload drizzle/0000_fantastic_sentry.sql
8:01:26 PM [vite] (client) page reload drizzle/0001_powerful_squirrel_girl.sql
8:01:26 PM [vite] (client) page reload prod_logs.txt
8:01:27 PM [vite] (client) page reload drizzle/meta/_journal.json
8:01:27 PM [vite] (client) page reload prod_logs.txt
8:01:28 PM [vite] (client) page reload drizzle/meta/_journal.json
8:01:28 PM [vite] (client) page reload drizzle/meta/0000_snapshot.json
8:01:28 PM [vite] (client) page reload prod_logs.txt
